artist,hottness
John Talabot,0.646206
Toni Braxton,0.671702
The Dave Brubeck Quartet,0.59122
Makyo,0.502193
L'orso,0.502827
Alphabeat,0.577814
Snoop Lion,0.654339
Samael,0.582376
Molotov,0.641705
Noize MC,0.544979
Eydie Gorme y Los Panchos,0.38782
Enshine,0.515082
Battles,0.603304
Prince and the New Power Generation,0.573724
A.C.T,0.569597
Cloud Boat,0.570415
Iggy & The Stooges,0.564916
Will Young,0.711593
Don Omar,0.798516
Carolyn Hillyer,0.23273
Yamantaka // Sonic Titan,0.515715
Cesare Basile,0.441812
Disappears,0.55265
Bulldozer,0.513322
Sleigh Bells,0.612745
The Wildhearts,0.555633
Paradox,0.58106
Guns N' Roses,0.833231
Mogwai,0.649163
Paté de Fuá,0.591781
Vespas Mandarinas,0.583804
Dawn of Destiny,0.501825
Böhse Onkelz,0.458968
Monster Truck,0.566407
Marco Notari,0.3885
Mike Oldfield,0.666396
Eminence,0.592158
Moondog,0.591515
Deströyer 666,0.478103
Slash,0.752902
Eagles,0.838141
Charli XCX,0.926298
Michael Stearns,0.537953
Richard Thompson,0.593494
Arthur Russell,0.595858
Sui Generis,0.568683
Yoshihisa Hirano and Hideki Taniuchi,0.441227
Glasvegas,0.589801
Black Sun Empire,0.502834
Kevin Moore,0.452915
Robyn,0.793817
Imagine Dragons,0.951585
Desmond Dekker,0.57333
Caitlin Rose,0.573185
Guthrie Govan,0.563458
Asphalt Ballet,0.344376
Turpentine,0.358227
Pupajim (Stand High),0.554562
Машина Времени,0.57567
Herbert Grönemeyer,0.802801
Throwing Muses,0.56477
Jodeci,0.749239
Billy Ocean,0.613715
Ingested,0.577714
John Littlejohn,0.364997
Misfits,0.646514
Tosca,0.608212
Woods of Ypres,0.563773
Ximena Sariñana,0.626283
Rick Astley,0.669439
Rednex,0.641868
Ti,0.800722
Before the Dawn,0.586221
X Japan,0.603223
Beatsteaks,0.644807
Chet Baker,0.666854
Tierra Santa,0.562694
Odious Mortem,0.468199
The Futureheads,0.577301
666,0.558773
Os Mutantes,0.58208
Elbow,0.633947
Cliff Lin,0.535978
Circus Maximus,0.583176
Crazy Town,0.665091
Gris,0.499937
Jimmy Ruffin,0.588613
Dan Auerbach,0.640491
Repulsion,0.537254
Gerald Levert,0.604767
Valesca Popozuda,0.636088
光田康典,0.472172
Sinister,0.544601
My Morning Jacket,0.703073
For My Pain...,0.482838
Júpiter Maçã,0.492239
Baligh Hamdi,0.371605
Pokahontaz,0.598558
Francis Rimbert,0.339488
Sunstorm,0.507066
Nate Dogg,0.615846
Maria Mena,0.732144
Treebeard,0.473608
S Club 7,0.605603
Holy Other,0.607721
Cate le Bon,0.557997
Cemetary,0.496367
The Wedding Present,0.574198
All About Eve,0.541915
Getatchew Mekuria & The Ex & Guests,0.339811
Koniec Świata,0.58411
The Greyboy Allstars,0.559693
Secret Garden,0.635695
RAC,0.584986
RAN,0.593877
RAM,0.498094
Miike Snow,0.658541
The White Panda,0.509618
Sergei Rachmaninoff,0.595578
London Grammar,0.780702
Cloudkicker,0.590007
Deep Purple,0.679791
The Ventures,0.593098
Boyce Avenue,0.683731
Erin McCarley,0.567511
The New Amsterdams,0.540665
Cryptopsy,0.577264
Grave,0.582888
Marcel Dadi,0.456394
Lighthouse Family,0.602978
Owen,0.597437
Dazkarieh,0.484656
Monodeluxe,0.538327
Neal Morse,0.553666
Skrillex & Damian "Jr. Gong" Marley,0.212217
Vampire Weekend,0.800479
Los Cafres,0.648024
High Hopes,0.466868
L.S.E.,0.420078
Frau,0.425004
Sidestepper,0.564772
Deuce,0.611567
Jane Birkin & Serge Gainsbourg,0.466766
Slash featuring Myles Kennedy And The Conspirators,0.752902
Nino Bravo,0.589956
Reptar,0.59983
Dropkick Murphys,0.643478
Gil Scott-Heron,0.60637
Babylon A.D.,0.504943
Kat Graham,0.62258
Lost Acapulco,0.547978
FM Attack,0.576665
Phish,0.623275
Looper,0.506947
Leftover Salmon,0.583166
Mt Eden,0.582362
Augustana,0.608447
Macklemore & Ryan Lewis,0.811373
Thinking Fellers Union Local 282,0.48928
Noir Désir,0.606639
Millencolin,0.63526
Dolores O'Riordan,0.509966
Psy,0.758527
Miami Nights 1984,0.600857
Pikachunes,0.49089
Wrathblade,0.354686
Easy Star All-Stars,0.599096
Palisades,0.594726
Bootsauce,0.318364
George Winston,0.591212
Mujuice,0.552501
Sheryl Crow,0.753949
Outlaw Blood,0.235109
Pseudo Echo,0.51551
Helvetets Port,0.348362
Os Cascavelletes,0.429687
Exorcist,0.425471
Zемфира,0.552549
The Presidents of the United States of America,0.622017
The Rapture,0.619356
Freddie Mercury,0.644609
Bury Tomorrow,0.611185
Spoon,0.737133
Bow Wow Wow,0.566416
AXL & Skeeter,0.343725
The Charlatans,0.751385
T. Mills,0.615142
Rusted Root,0.607167
Hospital of Death,0.324541
Cadáver Exquisito,0.450413
Pat Metheny Group,0.589348
David Essex,0.514545
Patricio Rey y sus Redonditos de Ricota,0.444736
Municipal Waste,0.598
Imagene Peise,0.354329
Buffalo Killers,0.551048
The Calling,0.612655
Sabu Martinez,0.461537
Bob Mould,0.599713
Destiny's Child,0.705521
Blackbird Blackbird,0.613741
Bleed The Sky,0.49175
Nelson,0.50707
Jamiroquai,0.652787
Charlie and Hash ft. El Cubanito,0.256968
Faithful Breath,0.394792
Vonda Shepard,0.538565
The Last Ten Seconds of Life,0.574362
Thunder,0.581834
U2,0.866243
Work Drugs,0.609846
Steve Jablonsky,0.599788
Antonio Pinto/Ed Cortes,0.244383
Patrice Rushen,0.56837
Gabrielle Aplin,0.77936
Electrocution,0.390733
Cultura Profética,0.68786
The Bug,0.572277
